model,split,task_id,target_tool,invoked,solved,invocation_without_success,process,response,judge_error,either_uncertain,n_calls,n_gold_calls,target_has_2xx,target_has_non_2xx,target_has_local_error,empty_final,rollout_error,missing_parameter_crash,output_keys_crash,parse_crash,run_source,judge_source
original,T_r,Logs.to::0,searchLogs,True,False,True,No,No,False,False,1,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Logs.to::1,createLog,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Domainsdb.info__2::0,searchDomains,True,False,True,Yes,No,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Domainsdb.info__2::1,searchDomains,True,False,True,No,No,False,False,2,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,CheetahO::0,resizeImage,True,True,False,Yes,Yes,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,CheetahO::1,resizeImage,True,True,False,Yes,Yes,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,apilayer aviationstack::0,searchAirlines,True,False,True,Uncertain,Uncertain,False,True,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,apilayer aviationstack::1,getFlightStatus,True,False,True,No,No,False,False,3,4,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,QWeather::0,getAirQualityData,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,QWeather::1,getSunriseSunsetTimes,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,xMath::0,parseExpression,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,xMath::1,generateExpression,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,"Open Government, New South Wales::0",getTrafficData,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
